Date,EICHERMOT,HCLTECH,ICICIBANK,KOTAKBANK,RELIANCE,SHREECEM,TATAMOTORS,BANDHANBNK,HDFCAMC,HAVELLS,JUBLFOOD,LTI,MUTHOOTFIN,TORNTPHARM,3MINDIA,AIAENG,AAVAS,ABCAPITAL,ASHOKLEY,GMRINFRA,HAL,INDHOTEL,KAJARIACER,LAURUSLABS,MPHASIS,NATIONALUM,NAM-INDIA,PETRONET,PFC,RELAXO,SUMICHEM,TRIDENT,UNOMINDA,UNIONBANK,ANURAS,ASTERDM,BALAMINES,CAMS,DCMSHRIRAM,DELTACORP,ELGIEQUIP,GARFIBRES,GESHIP,GAEL,GPPL,HEG,HATHWAY,IIFL,JSL,KNRCON,MGL,NESCO,RBLBANK,RAILTEL,SIS,SHILPAMED,SOBHA,STAR,SPARC,THYROCARE,UFLEX,AMRUTANJAN,ARVINDFASN,AUTOAXLES,CENTRUM,CRAFTSMAN,DEEPAKFERT,DHANUKA,DOLATALGO,FINOPB,GTPL,GRSE,GEOJITFSL,GREENPANEL,JINDALPOLY,KCP,KSL,KOLTEPATIL,NEWGEN,NUCLEUS,ORISSAMINE,PILANIINVS,PUNJABCHEM,RATEGAIN,RAYMOND,RELINFRA,SANSERA,SHALBY,SHOPERSTOP,USHAMART
01-04-2015,1420.335571,401.0568848,272.6529236,677.7311401,393.5799561,10550.11133,558.6789551,,,282.3512878,144.947937,,173.651474,541.9865723,7879.600098,1142.636719,,,62.09296036,16.85000038,,104.8574142,371.1251526,,306.766571,29.96037292,,69.43811035,89.76882935,163.6135254,,1.839179277,17.95193481,145.0340118,,,78.37020874,,97.37873077,79.04159546,70.04884338,179.469986,285.8743286,18.01491737,183.1220703,188.146637,49.25,85.29597473,35.09999847,42.15913773,,301.5619812,,,,507.2904358,359.6916504,1048.927979,499.9980164,,112.2891693,245.9458008,,746.8909302,,,115.2807236,591.3519897,,,,,35.08439636,,191.9901886,56.92075348,120.2295227,217.7240143,,146.6060028,2147.560547,924.1414185,188.0162354,,440.1257324,409.9101257,,,407.0296326,22.93045044
06-04-2015,1399.318115,397.3056946,271.0497742,695.9309692,388.2132874,10537.74707,567.9200439,,,281.7030029,150.0574951,,171.2727356,563.5891113,8144.399902,1167.106201,,,61.84140778,16.89999962,,104.6285553,369.0431519,,305.8652649,30.34162712,,70.34606934,88.32375336,165.9424133,,1.952111006,17.65858841,142.796524,,,77.52500153,,109.2920914,79.32953644,70.02548981,182.5899353,280.267334,18.72697067,182.5130768,191.1798553,51.04999924,86.84942627,35.25,42.53917694,,305.8973083,,,,498.6509705,365.8529358,1074.43689,518.9689331,,113.8405075,245.9220886,,714.8101807,,,115.0335999,580.5127563,,,,,35.62363434,,191.9442902,60.79447174,122.7579269,217.3036194,,145.7662201,2242.705566,924.1414185,192.3990173,,444.0610352,399.7180176,,,408.46698,22.88124466
07-04-2015,1417.125977,398.3713684,267.8014221,690.578064,392.0734863,10624.5459,560.1231079,,,280.3136902,152.9828491,,173.4391174,562.2515869,8609.900391,1144.142334,,,61.50600433,17.70000076,,103.4843292,367.9547729,,307.5895996,30.11923599,,71.35270691,86.78340912,171.9309845,,1.89967823,17.82850647,141.2302856,,,78.69889832,,107.6087036,79.04159546,70.25897217,178.9899902,277.7797852,18.86938095,176.8532257,191.6925354,51.79999924,85.65445709,36.65000153,42.70204544,,309.6174927,,,,496.8295898,358.6572876,1076.406006,514.1020508,,114.8442993,249.5759277,,714.8101807,,,120.1407166,562.2388306,,,,,35.89325714,,195.8006287,59.1994133,126.3761292,213.5199432,,146.6860046,2577.530762,924.1414185,200.3766479,,440.4658203,410.6050415,,,407.0791321,22.58600426
08-04-2015,1465.141602,408.7297974,265.8608398,682.984436,407.6322327,10462.9707,561.2727051,,,272.0242004,157.6555939,,171.8674164,572.4747314,9298.75,1162.259399,,,61.42214584,17.35000038,,105.7270279,366.4405823,,305.630127,30.05568504,,71.70798492,88.27611542,180.1005707,,1.907745361,18.48413277,140.6037903,,,77.71282196,,111.320816,80.48133087,70.81936646,181.101944,275.7661133,18.940588,179.4323578,191.9488678,52.84999847,85.15258789,36.54999924,43.87176132,,313.7124939,,,,497.8633423,371.3845825,1081.043945,511.370636,,115.619957,258.7342529,,717.6678467,,,116.4339447,563.0898438,,,,,35.657341,,204.7987366,59.56399155,126.2453613,216.2759552,,151.8848114,2665.705566,924.1414185,200.0811768,,450.3770142,420.6119385,,,404.1548462,23.17648506
09-04-2015,1445.427368,410.9888916,270.5013428,712.3632813,421.3783569,10757.36719,559.6733398,,,263.8273315,157.5426788,,169.2762299,560.7328491,9297.799805,1174.02356,,,63.14112854,17.29999924,,106.413559,366.7008362,,303.4747925,29.92860222,,73.08963776,91.34092712,185.2019348,,1.911778092,18.43924713,143.7362823,,,77.57195282,,117.7522964,85.08849335,71.35641479,186.7658997,273.6733093,19.48649216,178.89505,187.8902893,54.95000076,85.12867737,36.90000153,43.19066238,,315.4812622,,,,487.4517212,382.9425659,1040.0896,490.4132385,,115.9393539,253.2297211,,722.138855,,,116.351593,545.5773926,,,,,36.26398849,,210.0323486,60.42988586,125.1991425,213.4265442,,182.2377625,3156.218018,924.1414185,207.3201447,,462.9603577,422.1407776,,,391.8130798,23.57014275
10-04-2015,1439.021362,412.3103943,268.5608215,708.2802124,425.7329407,10477.37402,562.4222412,,,270.9126892,157.8764343,,172.5895386,564.1102295,9273.099609,1181.929199,,,63.22497177,18.79999924,,102.3858643,359.3900452,,308.5300903,30.02392006,,73.40544891,91.34092712,178.6712189,,2.024710178,19.01471901,144.3180237,,,82.03279114,,117.3206558,83.02487183,68.78794861,196.0777893,274.8578491,20.34095192,177.9636841,187.8475952,54.79999924,84.77018738,38.54999924,44.17282867,,317.0289001,,,,485.8026123,414.3334961,1052.647217,496.2733459,,116.8062744,249.860672,,717.7601318,,,115.8161392,556.0131836,,,,,36.39879227,,204.6151123,60.0197258,125.9837952,210.9974823,,184.0773468,3028.561279,924.1414185,219.582077,,465.3409729,439.3283997,,,389.43396,23.66855621
13-04-2015,1424.875122,416.061676,267.3795471,719.8325195,434.2772217,10122.84863,556.0247803,,,272.2094421,156.5119629,,169.5310974,577.9377441,9061,1153.459961,,,63.64424896,18.60000038,,102.431633,366.3695068,,301.9464111,30.15100098,,73.68177795,91.02333832,175.3565369,,2.105375528,19.17341805,146.689743,,,92.69190979,,117.1048508,90.12758636,69.62854004,196.0297852,275.2922058,21.12421227,177.0323029,187.9330444,56.04999924,85.00917816,39.15000153,43.52627945,,327.9105225,,,,482.8981934,397.6486206,1053.478516,494.8828125,,117.7644653,249.860672,,719.0505981,,,121.9941177,566.0459595,,,,,37.03914642,,209.5273285,59.92858505,128.1634369,208.8954926,,189.7160339,3331.372803,924.1414185,228.1506653,,477.5357056,437.1973267,,,381.8504944,23.57014275
15-04-2015,1407.320068,402.6127625,265.7764282,718.9860229,434.8186035,10216.00098,540.2312012,,,268.3194275,152.9141541,,162.819519,591.0394897,8824.049805,1157.789063,,,62.84763718,17.95000076,,100.3262405,358.0177002,,307.6286926,30.50049019,,73.54360962,88.81603241,184.2531281,,2.048909903,18.98587227,148.3007355,,,111.1927261,,113.3495483,90.46351624,69.74529266,196.3177948,270.3960571,22.14482307,171.7306671,186.9504242,54.59999847,86.70602417,38.54999924,45.56464005,,324.9401855,,,,485.4580383,393.0164795,1048.796753,487.6321411,,120.9127426,244.4036102,,706.9744263,,,122.2412338,544.0544434,,,,,39.26351929,,217.1940765,61.06790543,129.0353088,203.8506012,,185.7569427,3300.056396,924.1414185,233.5183411,,489.6817322,430.1091309,,,367.9721985,23.0780735
16-04-2015,1404.172607,406.7688904,263.6670837,706.288269,437.03125,10136.27832,541.0308838,,,266.8837891,149.7384491,,163.6266022,593.6237793,8680.849609,1144.236572,,,62.30260086,17.70000076,,97.94623566,363.7433167,,309.7841187,29.96037292,,73.46466827,87.43448639,181.0616913,,1.960177422,18.32543182,146.7792511,,,105.7927475,,109.4215851,85.90434265,68.62451172,192.1898346,270.9093628,21.1479454,172.4829254,186.5232086,54.90000153,84.72240448,38.65000153,44.35543823,,323.1233826,,,,477.0154724,378.6251221,1037.201782,484.0068054,,117.3994293,239.1363983,,691.440918,,,121.1291809,544.7262573,,,,,40.27459717,,214.0722961,58.6069603,125.0247498,201.4216156,,178.1187134,3132.568848,924.1414185,236.4730377,,484.7747192,421.5384521,,,363.8582458,22.38917542
17-04-2015,1357.526611,400.7371521,261.6421509,690.428772,436.3250427,9736.317383,535.1332397,,,264.6146545,144.7417603,,161.2053528,580.8618774,8772.5,1126.966797,,,61.17058563,17.20000076,,97.90047455,361.2354431,,308.9611206,30.40517426,,72.83304596,88.41903687,180.0759277,,1.919844985,17.9936161,147.3162537,,,108.1405563,,106.8749084,83.88871765,66.07941437,188.1578674,271.7780151,20.8868618,168.3992157,186.2241516,54.79999924,85.84565735,39.54999924,43.7138176,,325.4689026,,,,465.4961548,371.5644836,997.6913452,466.8237305,,116.3956223,234.2962799,,700.6596069,,,118.287323,533.7977295,,,,,38.8590889,,210.4455109,59.24498367,125.1119461,198.3852844,,172.5200043,3138.941895,924.1414185,236.9654846,,465.7296143,419.9633179,,,368.9139099,22.48758888
20-04-2015,1308.841919,394.0020752,262.5280762,682.6359863,416.9297485,9747.276367,532.9841309,,,269.4308472,141.2814178,,161.247818,560.3474731,8551.900391,1138.307373,,,59.24197769,16.5,,96.06970978,359.5082703,,306.6098633,29.45203018,,71.03690338,87.64093018,178.5356598,,1.895645142,17.7531662,141.856781,,,105.9805679,,104.1555557,83.93669891,66.77988434,181.437973,269.3299255,20.64950943,162.2020111,186.9931335,52.95000076,85.17647552,38.5,43.77798462,,319.980011,,,,453.9769592,367.5618591,979.5332642,461.907196,,112.9735794,226.964859,,697.2026367,,,113.7568207,534.8726807,,,,,38.82538223,,205.6710052,58.01451492,122.7579269,193.387146,,163.3221436,2967.272217,924.1414185,226.6733398,,445.2756653,399.8569641,,,356.9191284,22.09393311
21-04-2015,1268.792969,379.6581116,262.2749939,673.7225952,412.5986633,9698.834961,527.1865234,,,267.2079468,140.766037,,162.7345734,532.4887695,8304.900391,1111.155518,,,58.99040985,16.10000038,,98.63279724,362.4421082,,310.254364,29.8968277,,69.77367401,87.56153107,177.3157806,,1.907745361,17.66179085,141.6330414,,,101.3318787,,105.795784,82.73692322,67.13013458,180.8139801,272.2518005,20.19854355,165.6051025,188.3602448,51.59999847,84.74629974,37.90000153,44.8144455,,310.7998657,,,,451.8847351,376.6463623,973.3640137,446.4125977,,115.2549438,232.2320862,,718.4976196,,,113.3861465,527.4377441,,,,,38.75797272,,210.1700439,58.51581192,124.6760178,201.1880188,,166.4414063,2883.677979,924.1414185,223.1277161,,440.6601563,392.8614807,,,347.1548157,21.7986908
