stock,year,EBITDA_growth,CFO_growth
3MINDIA,2017,0.18053539724341539,0.39871154143201504
3MINDIA,2018,0.3389318879712049,-0.9008141670715443
3MINDIA,2019,0.0804504124512897,
3MINDIA,2020,-0.18095295706055636,-0.03136590512278159
3MINDIA,2021,-0.42646426147044847,0.3102596362244421
3MINDIA,2022,0.5000819782873644,0.019597614013930675
AAVAS,2021,0.22704161411985901,-0.08622198260510539
AAVAS,2022,0.14739552411862666,0.05969299295460395
ABCAPITAL,2019,0.33235344976655723,-0.13771072080176905
ABCAPITAL,2020,0.08445273631840777,-1.4164449224390858
ABCAPITAL,2021,-0.07317186687078525,-0.985024514280095
ABCAPITAL,2022,0.056001721695152495,
AIAENG,2017,0.03903704955547105,-0.6049113160373332
AIAENG,2018,-0.11027947568944729,0.2514332751245889
AIAENG,2019,0.18749153060502843,-0.35514081912088846
AIAENG,2020,0.05302058971079293,
AIAENG,2021,0.0063864722430675425,-0.1187821780939009
AIAENG,2022,0.06017739734959027,-1.0655336622097413
AMRUTANJAN,2017,-0.03938927448855889,-0.6131246400696685
AMRUTANJAN,2018,0.00023451830219922698,1.313820646254387
AMRUTANJAN,2019,0.058596290455389166,0.10718077733784526
AMRUTANJAN,2020,0.029228124390256793,-0.14135287198310686
AMRUTANJAN,2022,0.10202941183304626,-0.4255963516791168
ARVINDFASN,2021,,-1.3386163644319122
ASHOKLEY,2017,0.2999202329799002,-1.211897981438333
ASHOKLEY,2018,0.28462885508777513,
ASHOKLEY,2019,0.1377270064440539,
ASHOKLEY,2020,-0.3482867474937914,-1.1023043713906593
ASHOKLEY,2021,-0.18889631700498366,
ASHOKLEY,2022,-0.050112768715485534,
ASTERDM,2020,0.4238754325259517,1.0356287026559277
ASTERDM,2021,-0.12493238741033996,0.2827467811158797
ASTERDM,2022,0.37461031282473933,-0.1629320893239522
AUTOAXLES,2017,0.20026993355481704,0.7060363764168354
AUTOAXLES,2018,0.48411037107516663,-0.47269318720257103
AUTOAXLES,2019,0.35242280478849275,1.062998124706985
AUTOAXLES,2020,-0.5734337157287779,0.8729464344894848
AUTOAXLES,2021,-0.30152652475677644,-0.7538270980788675
AUTOAXLES,2022,,-0.11106319183455526
BALAMINES,2017,0.12881375603039658,-0.28693099389270116
BALAMINES,2018,0.18707253298812732,1.3153728205475983
BALAMINES,2019,0.03668536030361258,-0.3269528889168295
BALAMINES,2020,-0.008854506123816774,0.5305775211488861
BALAMINES,2021,,-0.23805914412105944
BALAMINES,2022,0.6461516986048479,1.1152303451012586
BANDHANBNK,2020,0.7212083459984118,1.4423125531530552
BANDHANBNK,2021,-0.2513723406483487,-1.1381104189504816
CENTRUM,2020,-0.4463653392593089,-0.8709055612284609
CENTRUM,2021,-0.025681695697535423,-0.772959578229127
CENTRUM,2022,-0.2592210440004875,
DCMSHRIRAM,2017,0.4989003738728832,
DCMSHRIRAM,2018,0.33401804709852545,0.07072027754763877
DCMSHRIRAM,2019,0.33480898958791605,-0.0631475861735441
DCMSHRIRAM,2020,-0.12100279469625708,-0.35952663638240756
DCMSHRIRAM,2021,-0.02798978212809833,
DCMSHRIRAM,2022,0.5175844665187901,-0.35109523481431626
DEEPAKFERT,2017,0.13526018730137768,
DEEPAKFERT,2018,0.16416806998808897,-1.165163769717673
DEEPAKFERT,2019,-0.09931555179226648,
DEEPAKFERT,2020,0.09589094754984528,-0.5585758887336738
DEEPAKFERT,2021,0.7657003967544769,1.1572967644871772
DEEPAKFERT,2022,0.41691127350756085,-0.029242484969939864
DELTACORP,2017,0.2777151446824502,0.11689419795221845
DELTACORP,2018,0.6233529411764707,0.7456073338426279
DELTACORP,2019,0.2837264920100009,-0.5562363238512035
DELTACORP,2020,-0.12544104778840992,
DELTACORP,2021,,-0.8226013863187278
DELTACORP,2022,,1.2370933521923622
DHANUKA,2017,0.22996079986136841,-0.548183611702082
DHANUKA,2018,-0.028245261903478425,1.1816294972463575
DHANUKA,2019,-0.08177881513008856,-0.903431166782622
DHANUKA,2020,0.1868740153806956,
DHANUKA,2021,0.525943440201208,0.42561494475553996
DHANUKA,2022,-0.018938265619850347,-0.5487280314338379
EICHERMOT,2017,0.235441100788212,0.16737977417502803
EICHERMOT,2018,0.19943544629888454,0.45333348946410057
EICHERMOT,2019,0.14715922332759068,-0.36530567025883776
EICHERMOT,2020,-0.11252659002366217,0.07531085961649531
EICHERMOT,2021,-0.18573429210093995,-0.0018593724175381965
EICHERMOT,2022,0.18369743174188424,-0.09694435738067508
ELGIEQUIP,2017,0.16536921962563378,-0.0011456394099957912
ELGIEQUIP,2018,0.21934128915757234,-0.629542015133413
ELGIEQUIP,2019,0.09243490065407878,
ELGIEQUIP,2020,-0.2615768482681389,-0.7935552943640828
ELGIEQUIP,2021,0.6001795929227085,
ELGIEQUIP,2022,0.4491979498775829,-0.7143737944767768
GAEL,2017,0.5017647961532559,-0.5869676010192938
