stock,year,ratio_cfo_ebitda,ratio_debt_equity
GARFIBRES,2020,0.522382714,0.179314964
GARFIBRES,2021,0.954145094,0.125524623
GARFIBRES,2022,0.256980189,0.081984448
GEOJITFSL,2016,0.629139116,0.0
GEOJITFSL,2017,1.056890683,0.009722292
GEOJITFSL,2018,0.451962087,0.0
GEOJITFSL,2019,,0.037497029
GEOJITFSL,2020,1.403568134,0.041036341
GEOJITFSL,2021,,0.055362672
GEOJITFSL,2022,0.357710503,0.103450041
GESHIP,2016,1.022511386,0.877421734
GESHIP,2017,0.78561362,0.943574501
GESHIP,2018,0.743806855,0.896879642
GESHIP,2019,0.820133384,0.880944304
GESHIP,2020,1.037077755,0.779211377
GESHIP,2021,0.813775361,0.655100353
GESHIP,2022,0.783646383,0.578224635
GMRINFRA,2016,,
GMRINFRA,2017,1.271358855,
GMRINFRA,2018,1.031459558,
GMRINFRA,2019,,
GMRINFRA,2020,0.59247441,
GMRINFRA,2021,,
GMRINFRA,2022,,
GPPL,2016,0.879534536,0.0
GPPL,2017,0.834535688,0.0
GPPL,2018,0.72533032,0.0
GPPL,2019,0.643829462,0.0
GPPL,2020,0.654590206,0.02555917
GPPL,2021,0.825485873,0.020779054
GPPL,2022,0.863116447,0.02098519
GREENPANEL,2020,,
GREENPANEL,2021,1.032718914,0.662229421
GREENPANEL,2022,0.832171162,0.331628042
GRSE,2019,,
GRSE,2020,,0.0
GRSE,2021,,0.003247861
GRSE,2022,,0.008907133
GTPL,2018,1.324291423,0.477224528
GTPL,2019,0.959254838,0.492265479
GTPL,2020,0.907310609,0.320295322
GTPL,2021,0.963556014,0.189436404
GTPL,2022,0.721523485,0.11840775
HAL,2018,-0.177226953,0.095102213
HAL,2019,,0.343906475
HAL,2020,0.28680041,0.447390065
HAL,2021,,0.003453504
HAL,2022,1.569274517,0.002550619
HATHWAY,2016,0.752641561,1.446450524
HATHWAY,2017,1.457545687,1.889224572
HATHWAY,2018,0.771969617,2.113974458
HATHWAY,2019,,0.542247579
HATHWAY,2020,0.622199593,0.527439537
HATHWAY,2021,0.679936561,0.0
HATHWAY,2022,0.635299733,0.0
HAVELLS,2016,0.300516831,0.044038718
HAVELLS,2017,0.895368382,0.063401778
HAVELLS,2018,0.957468293,0.030876603
HAVELLS,2019,0.381886884,0.022512972
HAVELLS,2020,0.72388885,0.03759892
HAVELLS,2021,0.37537092,0.120329193
HAVELLS,2022,0.899508553,0.102683874
HCLTECH,2016,0.508027175,0.03448517
HCLTECH,2017,0.784972511,0.013223839
HCLTECH,2018,0.667521642,0.010443577
HCLTECH,2019,0.603335799,0.08924739
HCLTECH,2020,0.74610444,0.147546722
HCLTECH,2021,0.935303933,0.108202124
HCLTECH,2022,0.782552325,0.102296552
HDFCAMC,2019,0.644402004,0.0
HDFCAMC,2020,0.750315347,0.02920708
HDFCAMC,2021,0.59852976,0.025030464
HDFCAMC,2022,0.653740262,0.019822641
HEG,2016,,0.784878315
HEG,2017,,0.717838459
HEG,2018,0.342655801,0.155937697
HEG,2019,0.312166081,0.17576304
HEG,2020,,0.169221617
HEG,2021,,0.085279484
HEG,2022,-0.217250692,0.169837197
ICICIBANK,2016,0.895721302,2.341685128
ICICIBANK,2017,,1.799514149
ICICIBANK,2018,0.921434497,2.073600784
ICICIBANK,2019,,1.84085645
ICICIBANK,2020,,1.739197159
ICICIBANK,2021,,0.913143104
ICICIBANK,2022,1.368908231,0.887670832
IIFL,2016,-0.02089617,
IIFL,2017,-0.250417906,
IIFL,2018,,
IIFL,2019,0.112632996,
IIFL,2020,0.340179137,
IIFL,2021,,
IIFL,2022,0.38370555,
INDHOTEL,2016,1.086975617,1.361975578
INDHOTEL,2017,0.817583897,1.039155155
INDHOTEL,2018,0.652127815,0.489550246
INDHOTEL,2019,0.773554132,0.451834354
INDHOTEL,2020,0.721772285,0.8787651
INDHOTEL,2021,,1.288423328
INDHOTEL,2022,1.166976526,0.507869099
JINDALPOLY,2016,0.631231147,0.669932892
JINDALPOLY,2017,0.653835236,0.658256978
JINDALPOLY,2018,1.101268915,0.418292857
JINDALPOLY,2019,,0.49289575
JINDALPOLY,2020,0.497815863,0.769668945
JINDALPOLY,2021,0.732697672,0.347003737
JINDALPOLY,2022,0.398093399,0.314582813
JSL,2016,,
JSL,2017,,
JSL,2018,1.033323136,2.026849191
JSL,2019,1.172360505,1.685937584
JSL,2020,1.003750159,1.429497557
JSL,2021,0.83153919,1.003539048
JSL,2022,0.344360271,0.61147111
JUBLFOOD,2016,0.769008378,0.0
JUBLFOOD,2017,0.835382475,0.0
JUBLFOOD,2018,0.883066216,0.0
JUBLFOOD,2019,0.654460463,0.0
JUBLFOOD,2020,0.790819586,1.474384752
JUBLFOOD,2021,0.889096511,1.127946411
JUBLFOOD,2022,0.821278439,1.077246154
KAJARIACER,2016,0.67456026,0.280201903
KAJARIACER,2017,0.659344525,0.17037262
KAJARIACER,2018,0.508964633,0.120195327
