Date,Quarter,Year,EICHERMOT,HCLTECH,ICICIBANK,KOTAKBANK,RELIANCE,SHREECEM,TATAMOTORS,BANDHANBNK,HDFCAMC,HAVELLS,JUBLFOOD,LTI,MUTHOOTFIN,TORNTPHARM,3MINDIA,AIAENG,AAVAS,ABCAPITAL,ASHOKLEY,GMRINFRA,HAL,INDHOTEL,KAJARIACER,LAURUSLABS,MPHASIS,NATIONALUM,NAM-INDIA,PETRONET,PFC,RELAXO,SUMICHEM,TRIDENT,UNOMINDA,UNIONBANK,ANURAS,ASTERDM,BALAMINES,CAMS,DCMSHRIRAM,DELTACORP,ELGIEQUIP,GARFIBRES,GESHIP,GAEL,GPPL,HEG,HATHWAY,IIFL,JSL,KNRCON,MGL,NESCO,RBLBANK,RAILTEL,SIS,SHILPAMED,SOBHA,STAR,SPARC,THYROCARE,UFLEX,AMRUTANJAN,ARVINDFASN,AUTOAXLES,CENTRUM,CRAFTSMAN,DEEPAKFERT,DHANUKA,DOLATALGO,FINOPB,GTPL,GRSE,GEOJITFSL,GREENPANEL,JINDALPOLY,KCP,KSL,KOLTEPATIL,NEWGEN,NUCLEUS,ORISSAMINE,PILANIINVS,PUNJABCHEM,RATEGAIN,RAYMOND,RELINFRA,SANSERA,SHALBY,SHOPERSTOP,USHAMART
2015-04-01,2016Q1,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-06,2016Q1,2016,-0.014797528435623541,-0.009353262198380285,-0.005879817384067176,0.026854054687991402,-0.013635523397020899,-0.0011719554053274406,0.016540964565858518,,,-0.002296022465671288,0.03525098877399002,,-0.01369834845168083,0.039858070483787866,0.033605741497872765,0.021414927065721123,,,-0.004051225429445804,0.0029673138796688647,,-0.0021825724174685535,-0.0056099692662004985,,-0.002938084475964664,0.012725282192515452,,0.013075802112463508,-0.016097747965118203,0.014234079329972227,,0.061403328328171414,-0.016340656486597438,-0.015427331646079456,,,-0.010784802332274634,,0.12234047964887029,0.0036429044520707166,-0.0003333898016461001,0.017384239947508595,-0.01961349459903905,0.03952575997854835,-0.003325614979135527,0.016121565329918708,0.03654820791878177,0.0182124835892592,0.004273548049530618,0.009014397126285711,,0.014376238950110753,,,,-0.01703060947004742,0.01712935341464905,0.02431903001035307,0.037941983923438505,,0.01381556395573047,-9.641229865631207e-05,,-0.04295238863244655,,,-0.0021436688830777095,-0.018329579656101047,,,,,0.01536973800167174,,-0.00023906638320791984,0.06805458507082296,0.021029811507352836,-0.0019308614226666299,,-0.005728160402447058,0.04430376555990989,0.0,0.0233106566072645,,0.008941314970476455,-0.024864250627122275,,,0.0035313089880424364,-0.002145870624249313
2015-04-07,2016Q1,2016,0.0127260998118357,0.002682251511831213,-0.01198433796739895,-0.0076917186285780925,0.009943500197669985,0.008236943762591098,-0.013728932591385745,,,-0.004931834895963827,0.019494887596587684,,0.012648725393511917,-0.002373226120204519,0.057155897868630845,-0.019675901799102946,,,-0.005423606318814556,0.04733734662652034,,-0.010936078556367135,-0.0029491916985764366,,0.005637562998739742,-0.007329571651528477,,0.014309791285347595,-0.01743975070581172,0.036088249416823315,,-0.02685952583579665,0.009622403334559548,-0.010968323010439707,,,0.01514217048477895,,-0.015402649710846372,-0.0036296818678347442,0.003334248152115915,-0.019716010600941414,-0.008875628723824192,0.007604555083120745,-0.031010660711189075,0.002681663814398716,0.014691479160930943,-0.01375909123780561,0.039716355460992725,0.0038286706917183277,,0.012161546699036352,,,,-0.0036526163744827755,-0.01966814393402494,0.0018326958226462242,-0.009377983901518339,,0.008817527451728813,0.01485771010160497,,0.0,,,0.04439673890445639,-0.03147893909596755,,,,,0.0075686494372433355,,0.020090925840939633,-0.02623689941449925,0.02947428643811678,-0.017411933636665378,,0.00630999760691453,0.14929520891018289,0.0,0.04146398828826037,,-0.008096217895769087,0.027236760467712395,,,-0.0033976991236843723,-0.012903161711133926
2015-04-08,2016Q1,2016,0.03388239703406404,0.026001941458802857,-0.007246348002122982,-0.010996045770721219,0.03968324037115578,-0.015207727607445265,0.0020524009521942777,,,-0.02957219033464109,0.0305442396156812,,-0.00906197531191999,0.018182508930505215,0.08000668738514793,0.015834625169983463,,,-0.0013634195703898788,-0.019774031919307156,,0.02167186778266328,-0.004115154120888476,,-0.00637041240194125,-0.0021099788195523272,,0.004979180543887907,0.017200364852410388,0.047516660384155474,,0.004246577590142797,0.036774045044278836,-0.004435984090370049,,,-0.012529735244710571,,0.03449639551275108,0.018214908259646556,0.007976124225729464,0.011799284404899746,-0.00724916645230389,0.0037736823581380197,0.01458346088849427,0.0013372059556993054,0.02027025570280694,-0.005859230413108096,-0.002728575329475569,0.027392502348477565,,0.013226000780155678,,,,0.002080698334445241,0.03548595090641071,0.004308726423066789,-0.0053129817236667876,,0.00675399392680176,0.0366955470601662,,0.003997797005635073,,,-0.030853585735978628,0.0015136151288088762,,,,,-0.006572714732458573,,0.04595545969255621,0.006158477418559016,-0.0010347515850326339,0.012907515610466769,,0.035441737023083286,0.03420902101342227,0.0,-0.0014745785154937074,,0.022501618611971974,0.024371101152200536,,,-0.007183580953694313,0.026143659285752907
2015-04-09,2016Q1,2016,-0.013455514452042738,0.005527109142446918,0.017454631541414356,0.043015395009674995,0.033721877460354266,0.028136988857285106,-0.002849533364917667,,,-0.030132866443304818,-0.0007162137238950761,,-0.015076659405697468,-0.020510743367283646,-0.0001021852399515355,0.010121803282573394,,,0.0279863667491822,-0.002881910023335821,,0.006493430427736646,0.0007102212816236797,,-0.0070521009206662155,-0.004228245665699237,,0.01926776831815058,0.034718470397323786,0.02832508570168568,,0.0021138727853524664,-0.0024283335636309245,0.022278858865158346,,,-0.0018126885171214635,,0.057774283652394454,0.057245108029362335,0.007583354057584479,0.03127495804241609,-0.0075890542712303555,0.02882192252954341,-0.0029944866499436174,-0.021144060637173445,0.03973514381825494,-0.0002807961635985512,0.009575986245629275,-0.015524768541478662,,0.005638182521872315,,,,-0.020912608371407737,0.03112133336875922,-0.03788407047596931,-0.040982794131339206,,0.0027624720531593816,-0.021274847602522406,,0.006229913072682169,,,-0.0007072825730690679,-0.03110063410452868,,,,,0.01701325654091823,,0.02555490374055358,0.014537210946871104,-0.008287186073426045,-0.013174885748926779,,0.1998419119082504,0.18400848850536544,0.0,0.03618015455414891,,0.027939577516742586,0.0036347972086863134,,,-0.03053722234445888,0.016985219673340657
2015-04-10,2016Q1,2016,-0.004431911379167874,0.0032154219420756913,-0.00717379544187613,-0.005731722854312227,0.0103341420571188,-0.02602803874355819,0.004911617553522207,,,0.02685604125893981,0.002118508473654357,,0.01957338429593647,0.006023154173009138,-0.0026565635438522417,0.006733799277418129,,,0.001327870311137902,0.08670520612115351,,-0.03784945018143804,-0.019936663018713996,,0.01665804846048302,0.0031848410192809595,,0.004320874472480085,0.0,-0.03526267642426373,,0.059071754442931335,0.031209076810068348,0.004047282917654771,,,0.057505814380502285,,-0.003665666090568176,-0.024252650843299972,-0.035994888302038786,0.04985861773994915,0.004328298594516999,0.043848823738217524,-0.005206213922632319,-0.0002272288799972655,-0.002729781945866594,-0.004211154232337977,0.04471538324079849,0.022740246059639313,,0.004905641270760652,,,,-0.003383122529427629,0.08197294580252357,0.01207359154442078,0.011949325466669602,,0.0074773618347721005,-0.013304319435196055,,-0.006063547432301086,,,-0.004602032393316691,0.01912797550182077,,,,,0.0037172905025923964,,-0.025792390248975283,-0.0067873710857278,0.006267237014023541,-0.011381254890786896,,0.010094418822772733,-0.040446109321970125,0.0,0.05914491482602169,,0.005142157768814215,0.04071537982593609,,,-0.006072078556474958,0.004175344249877311
2015-04-13,2016Q1,2016,-0.00983045865305232,0.009098198230895305,-0.004398535845258955,0.016310362618849883,0.020069579267113502,-0.033837237204976556,-0.011374836255319987,,,0.004786608201444054,-0.008642654022747998,,-0.01772089562791146,0.02451207915916731,-0.02287256882198785,-0.0240870925467338,,,0.0066315124904323675,-0.010638237664098882,,0.00044702166957244494,0.019420297510232887,,-0.02133885610184194,0.004232655820627151,,0.0037644213624903333,-0.0034769605478470744,-0.01855185194575293,,0.03984044278360921,0.008346115444384905,0.01643397850936612,,,0.129937290952453,,-0.001839445905995385,0.08554923811919113,0.012220039221780166,-0.0002448217116859386,0.0015802957835195919,0.038506573000149036,-0.005233546409820655,0.00045488578072561126,0.022810219294448375,0.0028192786566423322,0.015564262044846622,-0.014636808179755767,,0.03432375533135201,,,,-0.00597859876925988,-0.04026919294976106,0.000789722317766639,-0.0028019506013933215,,0.008203248540559427,0.0,,0.0017979074663339034,,,0.05334298434289386,0.018044133117565808,,,,,0.017592730694193426,,0.024007103604341218,-0.0015185132685161529,0.017300968720142196,-0.009962155363595016,,0.03063216195812757,0.09998527224781317,0.0,0.03902225726738151,,0.026206015395555005,-0.004850751741647397,,,-0.019473046469804522,-0.0041579832384714965
2015-04-15,2016Q1,2016,-0.012320415823780517,-0.03232432659815565,-0.005995667646936598,-0.0011759632651606733,0.0012466272071114393,0.009202187388630323,-0.02840445185101037,,,-0.014290520453625222,-0.022987436444706355,,-0.039589069515455044,0.022669821678462654,-0.026150556781812107,0.0037531445792420293,,,-0.012516634150253947,-0.03494621541507725,,-0.020554124134680274,-0.02279612916737439,,0.0188188409966501,0.011591297092651276,,-0.001875203528527214,-0.024249889651816847,0.0507343002848728,,-0.026819740349902976,-0.009781551704079017,0.010982311830759706,,,0.19959472570923276,,-0.032067864604631735,0.003727270346042477,0.0016767925901208791,0.0014692134652198874,-0.017785279048390557,0.048314738886118924,-0.029947279186639197,-0.005228565328344259,-0.025869773232132465,0.01996073890758332,-0.015325728392123539,0.0468305728345455,,-0.00905837658808284,,,,0.005301003265256732,-0.011648829796041316,-0.004444099171358684,-0.014651289591917305,,0.026733678040993913,-0.02184041912766488,,-0.016794606432300796,,,0.002025639470647933,-0.03885111399686625,,,,,0.06005464717726072,,0.03659068272805266,0.01901130118539318,0.0068028130416031285,-0.024150312374906724,,-0.020868511314583338,-0.009400451060835646,0.0,0.023526890850578575,,0.025434803005440543,-0.016212806819982717,,,-0.036344842035118785,-0.02087680398117231
2015-04-16,2016Q1,2016,-0.0022364926583282596,0.010322891589905847,-0.007936537165036728,-0.01766064081299401,0.005088665669292114,-0.007803705202855338,0.0014802599298664454,,,-0.005350482495345976,-0.02076789436982529,,0.004956919200823862,0.004372448279744923,-0.016228398429806834,-0.011705492332846346,,,-0.008672343853420972,-0.013927576011980025,,-0.023722655490115763,0.01599255147664902,,0.007006583429467694,-0.01770847834363931,,-0.0010733950972475759,-0.015555142270062161,-0.017320936870433457,,-0.04330716585930827,-0.034785889244792756,-0.010259452826516746,,,-0.04856413534769877,,-0.03465354082932848,-0.05039792592081538,-0.01606962846171822,-0.0210269283240746,0.001898347577642845,-0.0450162851538195,0.00438045407208465,-0.002285181228275479,0.005494561692430011,-0.022877530240699717,0.002594093176952361,-0.02653816245828111,,-0.005591191797974626,,,,-0.017390928224331303,-0.03661769455140618,-0.011055498567127953,-0.007434570846421185,,-0.02905660085490447,-0.02155128517000937,,-0.02197181075034882,,,-0.009097199573586234,0.0012348284407011079,,,,,0.025751076273428097,,-0.014373229925540798,-0.04029850234213295,-0.03108109739339815,-0.011915518451755314,,-0.04111948220603445,-0.05075293507196177,0.0,0.012652953023226221,,-0.010020821029925298,-0.019926753896309934,,,-0.011180063919964733,-0.029850762023095112
2015-04-17,2016Q1,2016,-0.0332195598799343,-0.014828415944170725,-0.007679884692409877,-0.02245470822056095,-0.0016159194565605883,-0.039458361774738604,-0.010900753129982399,,,-0.008502332073641927,-0.03336944405416564,,-0.014797406824108794,-0.021498299672308985,0.010557767399285378,-0.015092836064323878,,,-0.01816963039061159,-0.028248586357687788,,-0.0004672064188240288,-0.006894624546650796,,-0.0026566826713186886,0.014846321879494084,,-0.008597633731614152,0.011260436478215619,-0.005444352104094219,,-0.02057591141869608,-0.018106843170694664,0.0036585729656988253,,,0.022192530730898996,,-0.023273988378733512,-0.023463598437767685,-0.03708729266277988,-0.02097908668474402,0.0032064314463775556,-0.012345577551945208,-0.023676022948529996,-0.0016033232660142005,-0.0018215352862122058,0.01325803814108184,0.023285838922966873,-0.014465433227667579,,0.007258899003615316,,,,-0.02414872947840263,-0.018648098311171202,-0.038093298223816685,-0.035501721687155485,,-0.008550356726478525,-0.020239990375400696,,0.013332576450154399,,,-0.02346138130287645,-0.020062421543930453,,,,,-0.03514642900151432,,-0.016941870882282717,0.010886477761925528,0.0006974323095185753,-0.01507450524093601,,-0.031432458685163533,0.0020344475442475307,0.0,0.002082465319470206,,-0.03928650597009109,-0.003736632309942478,,,0.013894598125389068,0.004395582157621147
