stock,year,average_return
ELGIEQUIP,2019,5.88297255761047e-05
ELGIEQUIP,2020,-0.0027470568460196887
ELGIEQUIP,2021,0.005410715307097663
ELGIEQUIP,2022,0.0020775411117292955
FINOPB,2016,
FINOPB,2017,
FINOPB,2018,
FINOPB,2019,
FINOPB,2020,
FINOPB,2021,
FINOPB,2022,
GAEL,2016,0.0009689097720406918
GAEL,2017,0.004792291757300813
GAEL,2018,0.0032889631483463697
GAEL,2019,0.00016218671124743856
GAEL,2020,-0.0022737361322805343
GAEL,2021,0.004032150902446367
GAEL,2022,0.0033732207479866497
GARFIBRES,2016,0.0029390623744190926
GARFIBRES,2017,0.0032988482231290704
GARFIBRES,2018,0.001230463593409282
GARFIBRES,2019,0.0009823438490821593
GARFIBRES,2020,0.0002969106645644945
GARFIBRES,2021,0.003789184421743648
GARFIBRES,2022,0.0005661786689323244
GEOJITFSL,2016,-0.0015168631332393772
GEOJITFSL,2017,0.0028728624164812326
GEOJITFSL,2018,0.002159024356844936
GEOJITFSL,2019,-0.0027954227610806417
GEOJITFSL,2020,-0.002215983322048502
GEOJITFSL,2021,0.00489392779112595
GEOJITFSL,2022,0.0013994928544308813
GESHIP,2016,-0.0001697756028321349
GESHIP,2017,0.0013701317218831632
GESHIP,2018,-0.0007125159407585048
GESHIP,2019,-0.0002559368513847161
GESHIP,2020,-0.0007255155773649801
GESHIP,2021,0.0021017983375651032
GESHIP,2022,0.000818949668089305
GMRINFRA,2016,-0.000979690484400802
GMRINFRA,2017,0.0015923599618764747
GMRINFRA,2018,0.0007981333021293931
GMRINFRA,2019,0.0010367511172084817
GMRINFRA,2020,-0.0004601482293024337
GMRINFRA,2021,0.0019282606368030625
GMRINFRA,2022,0.0021095361050877644
GPPL,2016,-0.0011333893933616593
GPPL,2017,1.0838095669976632e-05
GPPL,2018,-0.00021589164556570534
GPPL,2019,-0.0011159337533735694
GPPL,2020,-0.0014548461676198929
GPPL,2021,0.002488393019555693
GPPL,2022,-0.0006044811242825093
GREENPANEL,2016,
GREENPANEL,2017,
GREENPANEL,2018,
GREENPANEL,2019,
GREENPANEL,2020,
GREENPANEL,2021,0.007468417019376269
GREENPANEL,2022,0.005656722468995885
GRSE,2016,
GRSE,2017,
GRSE,2018,
GRSE,2019,
GRSE,2020,0.002270555858657467
GRSE,2021,0.0017742723091600655
GRSE,2022,0.001292948704563691
GTPL,2016,
GTPL,2017,
GTPL,2018,-0.0007417126891482585
GTPL,2019,-0.0022295031879632885
GTPL,2020,-0.0012130763703428376
GTPL,2021,0.005116401456739347
GTPL,2022,0.002101377415327889
HAL,2016,
HAL,2017,
HAL,2018,
HAL,2019,-0.0015648406036951061
HAL,2020,-0.0008732829996575876
HAL,2021,0.0032141354893348065
HAL,2022,0.0019257682326360047
HATHWAY,2016,-0.0005271345417709735
HATHWAY,2017,0.00011742685370327933
HATHWAY,2018,0.00018471984181143975
HATHWAY,2019,0.0001366995194857361
HATHWAY,2020,-0.0022637731323927926
HATHWAY,2021,0.003578545009231736
HATHWAY,2022,-0.00127271466222196
HAVELLS,2016,0.0005001807986154774
HAVELLS,2017,0.0017170018856022295
HAVELLS,2018,0.00036777868105025973
HAVELLS,2019,0.0020550788126844372
HAVELLS,2020,-0.0016170356931859682
HAVELLS,2021,0.0034467668623201597
HAVELLS,2022,0.0005786481918188916
HCLTECH,2016,-0.00031484758778217253
HCLTECH,2017,0.0005201107597627582
HCLTECH,2018,0.0005520484212625963
HCLTECH,2019,0.0006442800058690567
HCLTECH,2020,-0.0006674490846245081
HCLTECH,2021,0.003573965173280924
HCLTECH,2022,0.0009448383864415054
HDFCAMC,2016,
HDFCAMC,2017,
HDFCAMC,2018,
HDFCAMC,2019,-0.0009117583717713243
HDFCAMC,2020,0.0017605003177572852
HDFCAMC,2021,0.0015265686841569742
HDFCAMC,2022,-0.0010653563815684174
