Date,Cash flow from Operations CFO,Finance Cost,Depreciation and Amortisation,Profit or Loss before Tax,EBITDA,Ratio of CFO over EBITDA,Debt,Equity,Debt-to-Equity ratio
2022,-1712.26,308.27,601.16,2213.03,3122.46,-0.548368914,8362.15,17268.5,0.484242986
2021,14.59,685.43,516.52,1000.04,2201.99,0.006625825,4231.34,15734.02,0.268929365
