Date,Cash flow from Operations CFO,Finance Cost,Depreciation and Amortisation,Profit or Loss before Tax,EBITDA,Ratio of CFO over EBITDA,Debt,Equity,Debt-to-Equity ratio
2022,2217.81,61.67,448.14,5757.31,6267.12,0.353880251,375.84,19272.12,0.019501747
2021,4254.11,55.55,465.83,4532.99,5054.37,0.841669684,326.35,15413.01,0.021173671
2020,2213.98,55.13,409.7,2665.21,3130.04,0.707332814,355.81,12217.53,0.029122908
