Date,Cash flow from Operations CFO,Finance Cost,Depreciation and Amortisation,Profit or Loss before Tax,EBITDA,Ratio of CFO over EBITDA,Debt,Equity,Debt-to-Equity ratio
2022,32145.05,713.39,5162.17,38264.82,44140.38,0.728245883,8193.52,64763.78,0.126513925
2021,26402.13,790.4,4341.32,27445.51,32577.23,0.810447358,7914.51,51587.17,0.153420124
