Date,Cash flow from Operations CFO,Finance Cost,Depreciation and Amortisation,Profit or Loss before Tax,EBITDA,Ratio of CFO over EBITDA,Debt,Equity,Debt-to-Equity ratio
2022,32721,8422,20599,25173,54194,0.603775326,79955,113574,0.70399035
2021,36238,10728,19245,14876,44849,0.808000178,80598,96943,0.831395769
